symbol,timestamp,price_open,price_high,price_low,price_close,volume_traded,trades_count,is_Monday,is_Tuesday,is_Wednesday,is_Thursday,is_Friday,is_Saturday,is_Sunday,is_winter,is_spring,is_summer,is_autumn
BINANCEFTS_PERP_BCH_USDT,2021-09-13 00:00:00+00:00,646.71,660.96,590.69,614.19,685350.617,371223.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-14 00:00:00+00:00,614.4,642.99,608.3,641.04,280027.525,197403.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-15 00:00:00+00:00,640.98,657.18,632.36,652.97,266371.26,140926.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-16 00:00:00+00:00,653.01,655.32,625.96,639.48,303158.1830000001,185613.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-17 00:00:00+00:00,639.48,648.29,612.53,621.62,343378.7949999999,214434.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-18 00:00:00+00:00,621.62,638.6,614.87,630.83,226454.48099999997,147119.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-19 00:00:00+00:00,630.84,647.69,601.63,608.92,373829.982,206849.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-20 00:00:00+00:00,608.92,609.0,530.0,542.58,615499.7689999999,368952.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-21 00:00:00+00:00,542.36,552.0,496.21,504.9,647044.2450000001,368427.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-22 00:00:00+00:00,505.11,548.12,495.93,547.34,370310.72299999994,240398.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-23 00:00:00+00:00,547.38,553.49,532.16,552.34,255421.71500000003,182565.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-24 00:00:00+00:00,552.29,556.36,478.86,513.12,573664.5170000001,355727.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-25 00:00:00+00:00,513.12,523.15,501.5,516.5,343596.2539999999,223954.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-26 00:00:00+00:00,516.49,519.79,480.01,502.99,421091.441,273147.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-27 00:00:00+00:00,503.09,515.12,487.19,487.7,323707.492,219848.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-28 00:00:00+00:00,487.61,499.3,471.8,473.71,381351.767,241318.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-29 00:00:00+00:00,473.69,497.97,471.04,484.73,334210.62200000003,197594.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-09-30 00:00:00+00:00,484.56,506.13,481.47,502.49,259143.31300000002,162243.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-01 00:00:00+00:00,502.5,544.48,500.08,543.62,397886.13100000005,222557.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-02 00:00:00+00:00,543.69,559.78,536.44,551.91,511507.0760000001,291860.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-03 00:00:00+00:00,551.94,579.0,544.38,571.15,332071.78599999996,185821.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-04 00:00:00+00:00,571.3,571.36,530.48,550.7,403300.91199999995,217209.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-05 00:00:00+00:00,550.56,600.67,548.7,594.86,426285.69500000007,244153.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-06 00:00:00+00:00,595.01,627.41,562.43,617.61,783779.121,435367.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-07 00:00:00+00:00,617.71,637.29,598.13,611.89,693526.7929999998,364986.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-08 00:00:00+00:00,611.86,618.04,587.55,596.98,396227.3819999999,263273.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-09 00:00:00+00:00,596.99,625.0,591.59,615.82,342952.29700000014,219299.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-10 00:00:00+00:00,615.71,624.12,582.28,584.82,340457.26099999994,210486.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-11 00:00:00+00:00,584.76,618.86,577.0,601.28,395903.73799999995,237646.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-12 00:00:00+00:00,601.28,601.39,567.7,588.12,406757.8059999999,256914.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-13 00:00:00+00:00,588.06,595.08,571.37,593.6,328564.41700000013,208932.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-14 00:00:00+00:00,593.61,608.08,590.19,599.5,294780.473,191506.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-15 00:00:00+00:00,599.49,637.91,585.42,626.17,692675.181,367387.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-16 00:00:00+00:00,626.12,654.19,623.85,626.16,443906.173,234483.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-17 00:00:00+00:00,626.09,629.43,588.37,612.99,331638.072,191670.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-18 00:00:00+00:00,612.99,619.77,598.55,611.79,256547.34100000001,175754.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-19 00:00:00+00:00,611.62,625.34,600.0,618.68,247248.73300000004,176869.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-20 00:00:00+00:00,618.69,649.68,605.39,645.23,383990.628,222820.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-21 00:00:00+00:00,645.33,657.35,620.72,623.87,465754.027,271708.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-22 00:00:00+00:00,623.93,637.65,612.98,624.32,250330.417,181921.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-23 00:00:00+00:00,624.38,638.0,615.35,629.64,208645.46199999997,151979.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-24 00:00:00+00:00,629.66,633.66,606.0,617.56,250243.28499999997,159371.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-25 00:00:00+00:00,617.57,629.49,615.37,621.89,238265.993,135789.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-26 00:00:00+00:00,621.94,633.13,599.8,611.92,321086.66099999996,200109.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-27 00:00:00+00:00,612.19,619.95,520.81,548.75,543115.8170000002,305775.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-28 00:00:00+00:00,548.77,592.49,543.96,578.83,424160.93100000004,270616.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-29 00:00:00+00:00,578.82,597.08,574.3,595.34,236948.68199999997,164270.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-30 00:00:00+00:00,595.33,601.59,576.1,585.56,241154.0350000001,152119.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-10-31 00:00:00+00:00,585.57,605.5,574.09,597.61,313368.99600000004,210754.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-01 00:00:00+00:00,597.63,600.68,578.86,587.24,262087.675,180399.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-02 00:00:00+00:00,587.25,609.77,582.32,599.27,259425.65899999999,192666.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-03 00:00:00+00:00,599.28,619.71,589.04,611.98,426115.022,250837.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-04 00:00:00+00:00,611.98,614.01,586.41,596.06,258152.343,162347.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-05 00:00:00+00:00,596.05,633.51,591.94,598.23,578245.92,306184.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-06 00:00:00+00:00,598.22,603.18,574.34,587.69,242413.563,152192.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-07 00:00:00+00:00,587.69,601.33,586.1,601.23,148481.30799999996,130051.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-08 00:00:00+00:00,601.24,643.46,599.37,639.15,458901.92699999997,267945.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-09 00:00:00+00:00,639.14,732.03,637.19,718.32,1015523.1519999999,564933.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-10 00:00:00+00:00,718.19,729.98,641.7,663.3,1068971.6509999998,565092.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-11 00:00:00+00:00,663.31,681.14,657.93,676.3,335217.473,196380.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-12 00:00:00+00:00,676.25,684.97,647.03,668.54,397065.125,239383.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-13 00:00:00+00:00,668.55,671.19,656.05,665.89,191665.03999999998,168074.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-14 00:00:00+00:00,665.79,680.0,657.65,679.66,250590.15699999995,159275.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-15 00:00:00+00:00,679.6,686.1,664.05,666.21,258987.53400000007,163401.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-16 00:00:00+00:00,666.22,666.22,569.53,598.29,550962.144,369552.0,False,True,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-17 00:00:00+00:00,598.33,603.83,577.31,595.1,275079.19800000003,229004.0,False,False,True,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-18 00:00:00+00:00,595.1,602.13,542.4,554.47,384219.265,287629.0,False,False,False,True,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-19 00:00:00+00:00,554.63,577.18,547.97,574.21,234321.565,171945.0,False,False,False,False,True,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-20 00:00:00+00:00,574.28,588.84,564.76,584.69,209613.63600000003,160710.0,False,False,False,False,False,True,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-21 00:00:00+00:00,584.7,585.79,568.99,574.95,163910.48200000002,126955.0,False,False,False,False,False,False,True,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-22 00:00:00+00:00,574.99,578.29,547.26,556.96,257085.94799999997,204848.0,True,False,False,False,False,False,False,False,False,False,True
BINANCEFTS_PERP_BCH_USDT,2021-11-23 00:00:00+00:00,556.95,575.67,546.12,571.28,216907.76799999995,176691.0,False,True,False,False,False,False,False,False,False,False,True
